Variável,Dado
Resultados," Houve diferença significativa (p=0,04) no percentual de acertos do teste de Stroop, em seu nível mais complexo, sendo GCEF (84,4±3,8%) e GSEF(65,3±8,2%). Não houve diferença no teste de Flanker, bem como nas comparações das avaliações, porém foi observado que nas notas de português, matemática e na soma das notas, o GCEF (3,21±0,95; 4,01±0,78 e 7,21±1,29 pontos) obteve nota superior não significativa em relação ao GSEF (2,89±1,09, 3,80±1,14 e 6,85±1,62 pontos)."
Conclusão," Houve diferença significativa (p=0,04) no percentual de acertos do teste de Stroop, em seu nível mais complexo, sendo GCEF (84,4±3,8%) e GSEF(65,3±8,2%). Não houve diferença no teste de Flanker, bem como nas comparações das avaliações, porém foi observado que nas notas de português, matemática e na soma das notas, o GCEF (3,21±0,95; 4,01±0,78 e 7,21±1,29 pontos) obteve nota superior não significativa em relação ao GSEF (2,89±1,09, 3,80±1,14 e 6,85±1,62 pontos)."
Palavras-Chave," Criança, exercicio físico, atividade física, educação física, desempenho escolar, cognição."
Colaboradores," Stéphany Vieira Brito, Isabela Almeida Ramos, Rodrigo Browne, Ana Cristina Martins, Raiane Maiara dos Santos Pereira, Marcos de Albuquerque Mathias Viégas, Bernardo Speller Trajano, Carmen Silvia Grubert Campbell."
Efeito de Brincadeiras Ativas sobre o Desempenho Escolar em Crianças,TituloTrabalho
Bolsista, Marcela Brandão Dias
Unidade Acadêmica, Universidade Católica de Brasília 
Instituição, UCB
Orientador (a), Carmen Silva Grubert Campbell
Introdução," O exercício físico é importante para um desenvolvimento saudável, tanto físico quanto mental da criança. Tem sido demostrado que crianças ativas fisicamente apresentam melhor desempenho escolar do que as sedentárias."
Metodologia," A amostra foi constituída de 28 crianças (14 meninos e 14 meninas) do quarto ano do ensino fundamental de escola pública do DF. O TDE (Teste de Desempenho Escolar) foi aplicado para seleção da amostra que foi dividida em um grupo com educação física prévia (GCEF) 14 crianças (7F; 7M; 9,6±0,8 anos; 36,3±9,5kg; 1,43±0,10m; 17,5±2,9 kg.m2-1; 93,1± 14,3 pontos no TDE) e um grupo sem educação física prévia (GSEF) com 14 crianças (7F; 7M; 9,3±0,6anos; 36,2±10,3kg; 1,38±0,06m; 19,0±4,4kg.m2-1; 89,8±12,0 pontos no TDE). Ambos os grupos realizaram familiarização com os testes cognitivos (Flanker e Stroop). O GCEF foi submetido a 30min de brincadeiras ativas (178,8±27,2bpm). O GSEF permaneceu sentado em uma sala colorindo desenhos durante 30 min (91,7±11,8bpm). Ao final dos 30min os grupos foram submetidos a prova escrita (20 questões aos 15min de recuperação), e testes cognitivos realizados em computador em laboratório de informática da UCB, 35min (Stroop) e aos 40min (Flanker)."
Resultados," Houve diferença significativa (p=0,04) no percentual de acertos do teste de Stroop, em seu nível mais complexo, sendo GCEF (84,4±3,8%) e GSEF(65,3±8,2%). Não houve diferença no teste de Flanker, bem como nas comparações das avaliações, porém foi observado que nas notas de português, matemática e na soma das notas, o GCEF (3,21±0,95; 4,01±0,78 e 7,21±1,29 pontos) obteve nota superior não significativa em relação ao GSEF (2,89±1,09, 3,80±1,14 e 6,85±1,62 pontos)."
Conclusão," Houve diferença significativa (p=0,04) no percentual de acertos do teste de Stroop, em seu nível mais complexo, sendo GCEF (84,4±3,8%) e GSEF(65,3±8,2%). Não houve diferença no teste de Flanker, bem como nas comparações das avaliações, porém foi observado que nas notas de português, matemática e na soma das notas, o GCEF (3,21±0,95; 4,01±0,78 e 7,21±1,29 pontos) obteve nota superior não significativa em relação ao GSEF (2,89±1,09, 3,80±1,14 e 6,85±1,62 pontos)."
Palavras-Chave," Criança, exercicio físico, atividade física, educação física, desempenho escolar, cognição."
Colaboradores," Stéphany Vieira Brito, Isabela Almeida Ramos, Rodrigo Browne, Ana Cristina Martins, Raiane Maiara dos Santos Pereira, Marcos de Albuquerque Mathias Viégas, Bernardo Speller Trajano, Carmen Silvia Grubert Campbell."
Modelagem de redes de sensores sem fio utilizando SystemC.,TituloTrabalho
Bolsista, Marcela Pinheiro de Carvalho
Unidade Acadêmica, Engenharia Elétrica 
Instituição, UnB
Orientador (a), JOSE EDIL GUIMARAES DE MEDEIROS
Introdução," O Grupo de Pesquisa Laboratório de Projetos de Ciruitos Integrados (LPCI-UnB) desenvolve Sistemas em Chip (SoCs) para aplicações em Redes de Sensores sem Fio (RSSFs) desde o ano 2000. O propósito final da criação dessa RSSF neste trabalho é integrá-la a simulações já quase finalizadas em middleware JADE (Java Agent Development Framework) e software MATLAB. Será simulado um ambiente monitorado pela rede e sujeito a incêndios. Neste trabalho foi utilizada uma ferramenta de descrição de hardware e software em alto nível e em ambiente homogêneo, o SystemC (biblioteca da linguagem C++). Ela foi escolhida para representar o Sistema em Chip durante o seu desenvolvimento. Essa estratégia propicia flexibilidade e redução do custo do projeto. A integração da etapa em SystemC às partes em JADE e em MATLAB nos criará um ambiente simulado completo de controle e supervisão de um incêndio sobre um ambiente natural, como uma floresta."
Metodologia," Para o desenvolvimento do trabalho foi necessário seguir os passos descritos resumidamente a seguir: 1) Realização de estudo sobre: Redes de Sensores Sem Fio, Linguagem SystemC, Noções de TLM e ArchC, Algoritmos de roteamento, 2) Instalação das ferramentas O Laboratório de Dispositivos e Circuitos Integrados (LDCI) disponibiliza toda infraestrutura laboratorial necessária oferecendo condições propícias para as atividades de pesquisas, bem como para o desenvolvimento desse trabalho."
Resultados," O ambiente a ser monitorado consiste em uma área específica com nós (pontos de sensibilidade e comunicação da rede) espalhadas aleatoriamente na superfície. Esses nós são responsáveis por medir a temperatura ambiente e enviá-la à Estação-Base, estação central de monitoramento dos incêndios. Essa comunicação é realizada seguindo as instruções do protocolo de roteamento desenvolvido em MATLAB. Esse código foi desenvolvido durante o semestre em paralelo com a aquisição de conhecimentos necessários para a implementação do código em SystemC. Ele foi baseado no código LEACH (Low Energy Adaptive Clustering Hierarchy) e em outros códigos da literatura atual. Foram selecionadas as suas melhores características a fim de criar um protocolo otimizado. Os resultados de sua implementação foram comparados a trabalhos existentes e apresentaram uma excelente economia de energia, principal desafio na nesse tipo de algoritmo."
Conclusão," O ambiente a ser monitorado consiste em uma área específica com nós (pontos de sensibilidade e comunicação da rede) espalhadas aleatoriamente na superfície. Esses nós são responsáveis por medir a temperatura ambiente e enviá-la à Estação-Base, estação central de monitoramento dos incêndios. Essa comunicação é realizada seguindo as instruções do protocolo de roteamento desenvolvido em MATLAB. Esse código foi desenvolvido durante o semestre em paralelo com a aquisição de conhecimentos necessários para a implementação do código em SystemC. Ele foi baseado no código LEACH (Low Energy Adaptive Clustering Hierarchy) e em outros códigos da literatura atual. Foram selecionadas as suas melhores características a fim de criar um protocolo otimizado. Os resultados de sua implementação foram comparados a trabalhos existentes e apresentaram uma excelente economia de energia, principal desafio na nesse tipo de algoritmo."
Palavras-Chave, SystemC Algoritmo de roteamento
Colaboradores, Leticia Toledo Maia Zoby - Doutoranda do Departamento de Engenharia Elétrica da Tecnologia.
A influencia da estética do grotesco na arquitetura contemporânea,TituloTrabalho
Bolsista, Marcela Soares Lins
Unidade Acadêmica, Arquitetura e Urbanismo 
Instituição, UNICEUB
Orientador (a), Carlos Henrique Magalhães de Lima
Introdução," A delimitação formal do grotesco como categoria estética pode servir de instrumento verificador dos reflexos na arquitetura contemporânea, no âmbito da produção arquitetônica e no âmbito da configuração da paisagem urbana. Partindo de um recorte cronológico especifico do período emergente do romantismo no século 18 ate o período da contemporaneidade o estudo  aborda aspectos que estruturam a categoria do grotesco no enquadramento proposto. A análise de obras contemporâneas como um desdobramento do estudo possibilita a compreensão de uma estrutura alternativa de analise e produção arquitetônica. O campo se amplia de forma a abordar os aspectos da construção arquitetônica da paisagem supondo que os aspectos estruturadores do grotesco podem atuar na formação espacial e formal da paisagem podendo então constituir base para novos modelos teóricos no campo da experimentação arquitetônica."
Metodologia," A pesquisa é de natureza teórica e se estrutura em seis fases principais: 1. Levantamento bibliográfico - O projeto metodológico da pesquisa desse tema analisa os conceitos existentes realizando um levantamento bibliográfico, reunindo-os e organizando as referencias. 2. Revisão bibliográfica sobre o conceito de grotesco na estética dentro deum recorte cronológico - determinando o recorte cronológico de maneira à aplicar esses conceitos a casos específicos, determinando que valores do grotesco se apresentam e em quais obras aparecem. 3. Levantamento de casos na arquitetura  Estabelecendo e organizando os casos de estudo na arquitetura aplicando os conceitos reunidos na revisão bibliográfica e desenvolvimento da pesquisa. 4.Recorte cronológico dos objetos de estudo - O modo de analise da pesquisa passa a estabelecer um recorte cronológico indicando o grotesco e em que períodos o conceito se fundamenta, e que autores participam dessa formulação. Definindo obras que s"
Resultados," A analise dos dados obtidos até este momento na pesquisa pode ser feita, de forma geral, a partir de dois parâmetros: um do âmbito funcionalista do modernismo e outra do âmbito da mudança na configuração da forma ocorrida com o tempo.Tendo em vista que o foco dessas analise são estudos da arquitetura contemporânea e as categorias analíticas que levanta, dentre as quais, o grotesco, pode-se observar que a manifestação dessa categoria no espaço contruído pode nos ajudar a entender os caminhos da contemporaneidade arquitetônica."
